"Reference:,""e1029094-a""";;;;
"Date:,""Fri Jul 20 15:37:21 GMT+200 2018""";;;;
"Generated by:,""Eurocircuits PCBA Visualizer""";;;;

Reference designators;Quantity;MPN;Manufacturer;Description
R30;1;GPR06030R;Generic part;0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film
C75, C76;2;C0603C101K5RACTU;Kemet;Capacitor, Ceramic, 100pF 50V 10% X7R
R9, R10, R11, R24, R56, R57, R65, R68, R69, R70, R71, R72;12;GPR0603100K;Generic part;0603, Res 100.0kOhm, 50V, 1.0%, 100mW
C44, C50, C190, C191;4;12062C104KAT2A;AVX;0.1µF ±10% 200V Ceramic Capacitor X7R 1206 (3216 Metric)
C14, C80, C1U15, C1U16, C2U15, C2U16, C19, C20, C23, C24, C28, C31, C40, C41, C42, C45, C48, C49, C53, C67, C82, C86, C88, C90, C144, CU17;26;GPC0603104;Generic part;0603, Cap 100.0nF, 50V, 10.0%, X7R
C55;1;GRM32ER60J107ME20L;Murata;100µF ±20% 6.3V Ceramic Capacitor X5R 1210 (3225 Metric)
R93;1;GPR060310K;Generic part;0603, Res 10.0kOhm, 50V, 1.0%, 100mW
R12, R13, R16, R17, R22, R43, R46, R77, R144, R145;10;CRCW060310M0FKEA;Vishay;10M Ohm ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film
R48, R49;2;GPR060310R;Generic part;0603, Res 10.0Ohm, 50V, 1.0%, 100mW
R7, R8, R21, R61, R67, R89;6;GPR060310K;Generic part;0603, Res 10.0kOhm, 50V, 1.0%, 100mW
C32, C33;2;C0603C100J5GACTU;Kemet;10pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)
C1, C2, C4, C6, C7, C8, C9, C16, C29, C30, C38, C52, C54, C58, C59, C81;16;C1608X5R0J106M080AB;TDK;10µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)
R5, R6, R15, R20;4;GPR0603180K;Generic part;0603, Res 180.0kOhm, 50V, 1.0%, 100mW
R28, R40, R42, R62;4;GPR06031M;Generic part;0603, Res 1.0MOhm, 50V, 1.0%, 100mW
R23, R25, R29, R41, R55, R63, R80;7;GPR06031K;Generic part;0603, Res 1.0kOhm, 50V, 1.0%, 100mW
C10, C10A;2;500R14N102JV4T;Johanson Dielectrics Inc.;"1000pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric) 0.063"" L x 0.032"" W (1.60mm x 0.81mm)"
C22;1;GPC0603105;Generic part;0603, Cap 1uF, 50V, 10.0%, X5R
RSENSE;1;MCPWR10FTEQ2000;Multicomp;RES, THICK FILM, 200R, 1%, 0.75W, 2010
C21, C60, C83, C85;4;C0603C224K3RACTU;Kemet;0.22µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)
R3;1;GPR0603270K;Generic part;0603, Res 270.0kOhm, 50V, 1.0%, 100mW
R1, R4;2;GPR06032M;Generic part;0603, Res 2.0MOhm, 75V, 1.0%, 100mW
C13, C15, C46, C51, C69, C70;6;C5750X7T2E225K250KE;TDK;2.2µF ±10% 250V Ceramic Capacitor X7T 2220 (5750 Metric)
L2, L3, L4, L5, L6, L8, L9, L10, L21, L22;10;MMZ1608B301CTAH0;TDK;FERRITE BEAD 300 OHM 0603 1LN
C11, C12, C17, C18;4;C0603C333K1RACTU;Kemet;0.033µF ±10% 100V Ceramic Capacitor X7R 0603 (1608 Metric)
R66;1;GPR0603390R;Generic part;0603, Res 390.0Ohm, 50V, 1.0%, 100mW
R2, R90, R91;3;GPR0603390K;Generic part;0603, Res 390.0kOhm, 75V, 1.0%, 100mW
R14, R73;2;GPR06033K3;Generic part;0603, Res 3.3kOhm, 75V, 1.0%, 100mW
C39;1;CGB3B3X5R0J475K055AB;TDK Corporation;"4.7µF ±10% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063"" L x 0.032"" W (1.60mm x 0.80mm)"
R19;1;GPR0603470R;Generic part;0603, Res 470.0Ohm, 75V, 1.0%, 100mW
C26, C27, C34;3;GPC0603474;Generic part;0603, Cap 470nF, 50V, 10.0%, X7R
C3, C5;2;GRM219R60J476ME44D;Murata Electronics North America;47µF ±20% 6.3V Ceramic Capacitor X5R 0805 (2012 Metric) GRM Series
L11, L12;2;LQH31MN470K03L;Murata;47µH Unshielded Wirewound Inductor 55mA 10.4 Ohm Max 1206 (3216 Metric)
R18;1;MCWR06X4993FTL;Multicomp;RES, THICK FILM, 499KOHM, 1%, 0.1W, 0603
R64;1;GPR06034K7;Generic part;0603, Res 4.7kOhm, 50V, 1.0%, 100mW
C43, C47;2;GRM21BR60J475KA11L;Murata;4.7µF ±10% 6.3V Ceramic Capacitor X5R 0805 (2012 Metric)
L1;1;B82462G4682M000;EPCOS;6.8µH Shielded Wirewound Inductor 1.65A 50 mOhm Max Nonstandard
R51, R58, R83, R84;4;GPR0603820R;Generic part;0603, Res 820.0Ohm, 50V, 1.0%, 100mW
X1;1;ABS05-32.768KHZ-T;Abracon;32.768kHz ±20ppm Crystal 12.5pF 90 kOhm -40°C ~ 85°C Surface Mount 2-SMD, No Lead
